policy,workload,pod,phase,annotation,gpus
original,balanced_8x1,cmp-vgpu-balanced-8x1-0,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4096,10:",14c1f7cd
original,balanced_8x1,cmp-vgpu-balanced-8x1-1,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4096,10:",db148309
original,balanced_8x1,cmp-vgpu-balanced-8x1-2,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4096,10:",b4e92c1e
original,balanced_8x1,cmp-vgpu-balanced-8x1-3,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4096,10:",b4e92c1e
original,balanced_8x1,cmp-vgpu-balanced-8x1-4,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4096,10:",14c1f7cd
original,balanced_8x1,cmp-vgpu-balanced-8x1-5,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4096,10:",db148309
original,balanced_8x1,cmp-vgpu-balanced-8x1-6,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4096,10:",b4e92c1e
original,balanced_8x1,cmp-vgpu-balanced-8x1-7,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4096,10:",db148309
original,mixed_8x1,cmp-vgpu-mixed-8x1-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8192,10:",db148309
original,mixed_8x1,cmp-vgpu-mixed-8x1-1,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8192,10:",b4e92c1e
original,mixed_8x1,cmp-vgpu-mixed-8x1-2,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4096,35:",14c1f7cd
original,mixed_8x1,cmp-vgpu-mixed-8x1-3,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4096,35:",b4e92c1e
original,mixed_8x1,cmp-vgpu-mixed-8x1-4,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4096,15:",aa032dae
original,mixed_8x1,cmp-vgpu-mixed-8x1-5,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4096,15:",14c1f7cd
original,mixed_8x1,cmp-vgpu-mixed-8x1-6,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4096,15:",db148309
original,mixed_8x1,cmp-vgpu-mixed-8x1-7,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4096,15:",db148309
original,multi_4x2,cmp-vgpu-multi-4x2-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8192,25:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8192,25:",db148309|b4e92c1e
original,multi_4x2,cmp-vgpu-multi-4x2-1,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8192,25:GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,8192,25:",db148309|aa032dae
original,multi_4x2,cmp-vgpu-multi-4x2-2,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8192,25:GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8192,25:",b4e92c1e|14c1f7cd
