policy,workload,expected_pods,allocated_pods,running_pods,success_rate,mem_range,core_range,slice_range,mem_std,core_std,avg_intra_mem_core_gap,used_gpu_count,gpu_usage,balance_score
original,balanced_8x1,8,8,8,1.0,12288.0,30.0,3,5016.554993219948,12.24744871391589,0.17799489768224505,3,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 30.0, ""mem"": 12288.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 30.0, ""mem"": 12288.0, ""slices"": 3}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 20.0, ""mem"": 8192.0, ""slices"": 2}}",0.9782391575747708
original,mixed_8x1,8,8,8,1.0,12288.0,35.0,2,4579.4672179195695,13.46291201783626,0.12512212994626282,4,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 40.0, ""mem"": 16384.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 45.0, ""mem"": 12288.0, ""slices"": 2}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 15.0, ""mem"": 4096.0, ""slices"": 1}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 50.0, ""mem"": 8192.0, ""slices"": 2}}",0.9753663898387884
original,multi_4x2,4,4,4,1.0,0.0,0.0,0,0.0,0.0,0.16699234652336759,4,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 50.0, ""mem"": 16384.0, ""slices"": 2}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 50.0, ""mem"": 16384.0, ""slices"": 2}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 50.0, ""mem"": 16384.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 50.0, ""mem"": 16384.0, ""slices"": 2}}",0.16699234652336759
binpack,balanced_8x1,8,8,8,1.0,12288.0,30.0,3,5016.554993219948,12.24744871391589,0.17799489768224505,3,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 30.0, ""mem"": 12288.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 30.0, ""mem"": 12288.0, ""slices"": 3}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 20.0, ""mem"": 8192.0, ""slices"": 2}}",0.9782391575747708
binpack,mixed_8x1,8,8,8,1.0,8192.0,50.0,2,3547.2400539010605,19.20286436967152,0.11674808663084188,4,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 25.0, ""mem"": 12288.0, ""slices"": 2}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 45.0, ""mem"": 12288.0, ""slices"": 2}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 15.0, ""mem"": 4096.0, ""slices"": 1}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 65.0, ""mem"": 12288.0, ""slices"": 3}}",0.9502442598925257
binpack,multi_4x2,4,4,4,1.0,0.0,0.0,0,0.0,0.0,0.16699234652336759,4,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 50.0, ""mem"": 16384.0, ""slices"": 2}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 50.0, ""mem"": 16384.0, ""slices"": 2}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 50.0, ""mem"": 16384.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 50.0, ""mem"": 16384.0, ""slices"": 2}}",0.16699234652336759
spread,balanced_8x1,8,8,8,1.0,0.0,0.0,0,0.0,0.0,0.13349617326168378,4,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 20.0, ""mem"": 8192.0, ""slices"": 2}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 20.0, ""mem"": 8192.0, ""slices"": 2}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 20.0, ""mem"": 8192.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 20.0, ""mem"": 8192.0, ""slices"": 2}}",0.13349617326168378
spread,mixed_8x1,8,8,8,1.0,4096.0,25.0,0,2048.0,12.5,0.20837404331542092,4,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 50.0, ""mem"": 8192.0, ""slices"": 2}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 50.0, ""mem"": 8192.0, ""slices"": 2}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 25.0, ""mem"": 12288.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 25.0, ""mem"": 12288.0, ""slices"": 2}}",0.6251221299462628
spread,multi_4x2,4,4,4,1.0,0.0,0.0,0,0.0,0.0,0.16699234652336759,4,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 50.0, ""mem"": 16384.0, ""slices"": 2}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 50.0, ""mem"": 16384.0, ""slices"": 2}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 50.0, ""mem"": 16384.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 50.0, ""mem"": 16384.0, ""slices"": 2}}",0.16699234652336759
random,balanced_8x1,8,8,8,1.0,12288.0,30.0,3,5016.554993219948,12.24744871391589,0.17799489768224505,3,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 30.0, ""mem"": 12288.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 30.0, ""mem"": 12288.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 20.0, ""mem"": 8192.0, ""slices"": 2}}",0.9782391575747708
