repeat,policy,pod,role,phase,annotation
1,spread,caseb-repeat-preload-pre-core-1-0,preload,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,65:"
1,spread,caseb-repeat-preload-pre-mem-0-0,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,12000,10:"
1,spread,caseb-repeat-preload-pre-mix-3-0,preload,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,12000,50:"
1,spread,caseb-repeat-preload-pre-small-2-0,preload,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,20:"
1,spread,caseb-repeat-target-corehi-1-0,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
1,spread,caseb-repeat-target-corehi-1-1,target,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,35:"
1,spread,caseb-repeat-target-corehi-1-2,target,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,35:"
1,spread,caseb-repeat-target-memhi-0-0,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,10:"
1,spread,caseb-repeat-target-memhi-0-1,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,10:"
1,spread,caseb-repeat-target-memhi-0-2,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,10:"
1,binpack,caseb-repeat-preload-pre-core-1-0,preload,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,65:"
1,binpack,caseb-repeat-preload-pre-mem-0-0,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,12000,10:"
1,binpack,caseb-repeat-preload-pre-mix-3-0,preload,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,12000,50:"
1,binpack,caseb-repeat-preload-pre-small-2-0,preload,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,20:"
1,binpack,caseb-repeat-target-corehi-1-0,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,35:"
1,binpack,caseb-repeat-target-corehi-1-1,target,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,35:"
1,binpack,caseb-repeat-target-corehi-1-2,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
1,binpack,caseb-repeat-target-memhi-0-0,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,10:"
1,binpack,caseb-repeat-target-memhi-0-1,target,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,8000,10:"
1,binpack,caseb-repeat-target-memhi-0-2,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,10:"
1,original,caseb-repeat-preload-pre-core-1-0,preload,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,65:"
1,original,caseb-repeat-preload-pre-mem-0-0,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,12000,10:"
1,original,caseb-repeat-preload-pre-mix-3-0,preload,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,12000,50:"
1,original,caseb-repeat-preload-pre-small-2-0,preload,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,20:"
1,original,caseb-repeat-target-corehi-1-0,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
1,original,caseb-repeat-target-corehi-1-1,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
1,original,caseb-repeat-target-corehi-1-2,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,35:"
