repeat,policy,expected,allocated,running,used_gpus,mem_range,core_range,slice_range,intra_gap,balance_score,gpu_usage
1,spread,10,10,10,4,4000.0,20.0,1,0.08209982087607881,0.44493974922651036,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 75.0, ""mem"": 16000.0, ""slices"": 2}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 65.0, ""mem"": 16000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 80.0, ""mem"": 20000.0, ""slices"": 3}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 60.0, ""mem"": 20000.0, ""slices"": 2}}"
1,binpack,10,10,10,4,12000.0,70.0,1,0.28851978505129455,1.4770395701025891,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 100.0, ""mem"": 12000.0, ""slices"": 2}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 30.0, ""mem"": 12000.0, ""slices"": 2}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 55.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 95.0, ""mem"": 24000.0, ""slices"": 3}}"
1,original,10,10,10,4,12000.0,90.0,3,0.225,1.6135197850512948,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 85.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 100.0, ""mem"": 20000.0, ""slices"": 4}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 10.0, ""mem"": 12000.0, ""slices"": 1}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 85.0, ""mem"": 16000.0, ""slices"": 2}}"
1,random,10,10,10,4,4000.0,55.0,2,0.175,0.8878399283504315,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 75.0, ""mem"": 16000.0, ""slices"": 2}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 100.0, ""mem"": 20000.0, ""slices"": 4}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 45.0, ""mem"": 16000.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 60.0, ""mem"": 20000.0, ""slices"": 2}}"
1,dqn-job,10,10,10,4,12000.0,35.0,2,0.03851978505129455,0.877039570102589,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 85.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 65.0, ""mem"": 16000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 80.0, ""mem"": 20000.0, ""slices"": 3}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 50.0, ""mem"": 12000.0, ""slices"": 1}}"
2,spread,10,10,10,4,12000.0,80.0,1,0.28851978505129455,1.5770395701025892,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 65.0, ""mem"": 16000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 95.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 100.0, ""mem"": 12000.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 20.0, ""mem"": 20000.0, ""slices"": 2}}"
2,binpack,10,10,10,4,16000.0,40.0,1,0.1942598925256473,1.2456196059273734,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 55.0, ""mem"": 8000.0, ""slices"": 2}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 95.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 75.0, ""mem"": 16000.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 55.0, ""mem"": 24000.0, ""slices"": 3}}"
2,original,10,10,10,4,16000.0,50.0,3,0.19493974922651033,1.3462994626282363,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 75.0, ""mem"": 24000.0, ""slices"": 4}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 95.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 65.0, ""mem"": 8000.0, ""slices"": 1}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 45.0, ""mem"": 16000.0, ""slices"": 2}}"
2,random,10,10,10,4,8000.0,80.0,2,0.38141996417521573,1.5070998208760789,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 100.0, ""mem"": 20000.0, ""slices"": 4}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 60.0, ""mem"": 20000.0, ""slices"": 2}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 100.0, ""mem"": 12000.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 20.0, ""mem"": 20000.0, ""slices"": 2}}"
2,dqn-job,10,10,10,4,12000.0,35.0,2,0.03851978505129455,0.877039570102589,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 65.0, ""mem"": 16000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 50.0, ""mem"": 12000.0, ""slices"": 1}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 85.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 80.0, ""mem"": 20000.0, ""slices"": 3}}"
