case_id,policy,pod,phase,annotation
0,spread,dqn-better-0-spread-corehi-1-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
0,spread,dqn-better-0-spread-corehi-1-1,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,35:"
0,spread,dqn-better-0-spread-memhi-0-0,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,10:"
0,spread,dqn-better-0-spread-memhi-0-1,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,10:"
0,spread,dqn-better-0-spread-normal-2-0,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
0,spread,dqn-better-0-spread-normal-2-1,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:"
0,spread,dqn-better-0-spread-normal-2-2,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,15:"
0,spread,dqn-better-0-spread-normal-2-3,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:"
0,binpack,dqn-better-0-binpack-corehi-1-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
0,binpack,dqn-better-0-binpack-corehi-1-1,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
0,binpack,dqn-better-0-binpack-memhi-0-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,10:"
0,binpack,dqn-better-0-binpack-memhi-0-1,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,10:"
0,binpack,dqn-better-0-binpack-normal-2-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:"
0,binpack,dqn-better-0-binpack-normal-2-1,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
0,binpack,dqn-better-0-binpack-normal-2-2,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
0,binpack,dqn-better-0-binpack-normal-2-3,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
0,original,dqn-better-0-original-corehi-1-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
0,original,dqn-better-0-original-corehi-1-1,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
0,original,dqn-better-0-original-memhi-0-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,10:"
0,original,dqn-better-0-original-memhi-0-1,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,10:"
