policy,pod,role,phase,annotation
spread,dqn-success-job-core-0,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
spread,dqn-success-job-mem-0,target,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,10:"
spread,dqn-success-job-pair-0,target,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:"
spread,dqn-success-job-pair-1,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:"
spread,dqn-success-preload-a,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,12000,10:"
spread,dqn-success-preload-b,preload,Failed,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,65:"
spread,dqn-success-preload-c,preload,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,20:"
spread,dqn-success-preload-d,preload,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,12000,50:"
dqn-job,dqn-success-job-core-0,target,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
dqn-job,dqn-success-job-mem-0,target,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,10:"
dqn-job,dqn-success-job-pair-0,target,Failed,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
dqn-job,dqn-success-job-pair-1,target,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:"
dqn-job,dqn-success-preload-a,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,12000,10:"
dqn-job,dqn-success-preload-b,preload,Failed,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,65:"
dqn-job,dqn-success-preload-c,preload,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,20:"
dqn-job,dqn-success-preload-d,preload,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,12000,50:"
