case,policy,pod,role,phase,annotation
case-a,spread,normal-preload-pre-pre-core-1-0,preload,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,65:"
case-a,spread,normal-preload-pre-pre-mem-0-0,preload,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,12000,10:"
case-a,spread,normal-preload-pre-pre-mix-3-0,preload,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,12000,50:"
case-a,spread,normal-preload-pre-pre-small-2-0,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,20:"
case-a,spread,normal-preload-target-core-2-0,target,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,35:"
case-a,spread,normal-preload-target-mem-1-0,target,Failed,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,8000,10:"
case-a,spread,normal-preload-target-pair-0-0,target,Failed,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
case-a,spread,normal-preload-target-pair-0-1,target,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,15:GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:"
case-a,binpack,normal-preload-pre-pre-core-1-0,preload,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,65:"
case-a,binpack,normal-preload-pre-pre-mem-0-0,preload,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,12000,10:"
case-a,binpack,normal-preload-pre-pre-mix-3-0,preload,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,12000,50:"
case-a,binpack,normal-preload-pre-pre-small-2-0,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,20:"
case-a,binpack,normal-preload-target-core-2-0,target,Failed,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
case-a,binpack,normal-preload-target-mem-1-0,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8000,10:"
case-a,binpack,normal-preload-target-pair-0-0,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:"
case-a,binpack,normal-preload-target-pair-0-1,target,Failed,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:"
case-a,original,normal-preload-pre-pre-core-1-0,preload,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,65:"
case-a,original,normal-preload-pre-pre-mem-0-0,preload,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,12000,10:"
case-a,original,normal-preload-pre-pre-mix-3-0,preload,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,12000,50:"
case-a,original,normal-preload-pre-pre-small-2-0,preload,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,20:"
case-a,original,normal-preload-target-core-2-0,target,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,35:"
case-a,original,normal-preload-target-mem-1-0,target,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8000,10:"
case-a,original,normal-preload-target-pair-0-0,target,Failed,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4000,15:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4000,15:"
case-a,original,normal-preload-target-pair-0-1,target,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4000,15:GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4000,15:"
case-a,random,normal-preload-pre-pre-core-1-0,preload,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8000,65:"
case-a,random,normal-preload-pre-pre-mem-0-0,preload,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,12000,10:"
case-a,random,normal-preload-pre-pre-mix-3-0,preload,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,12000,50:"
