case,policy,expected,allocated,running,used_gpus,mem_range,core_range,slice_range,intra_gap,balance_score,gpu_usage,target_specs
case-a,spread,8,8,6,4,0.0,70.0,1,0.27499999999999997,0.9749999999999999,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 85.0, ""mem"": 16000.0, ""slices"": 2}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 25.0, ""mem"": 16000.0, ""slices"": 2}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 45.0, ""mem"": 16000.0, ""slices"": 3}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 95.0, ""mem"": 16000.0, ""slices"": 3}}","[[""pair"", 2, 2, 4000, 15], [""mem"", 1, 1, 8000, 10], [""core"", 1, 1, 4000, 35]]"
case-a,binpack,8,8,6,4,20000.0,75.0,2,0.1942598925256473,1.7584595342778049,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 95.0, ""mem"": 16000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 95.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 20.0, ""mem"": 4000.0, ""slices"": 1}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 40.0, ""mem"": 20000.0, ""slices"": 3}}","[[""pair"", 2, 2, 4000, 15], [""mem"", 1, 1, 8000, 10], [""core"", 1, 1, 4000, 35]]"
case-a,original,8,8,6,4,12000.0,75.0,1,0.17432014329913692,1.4128399283504316,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 90.0, ""mem"": 20000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 100.0, ""mem"": 20000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 35.0, ""mem"": 8000.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 25.0, ""mem"": 16000.0, ""slices"": 2}}","[[""pair"", 2, 2, 4000, 15], [""mem"", 1, 1, 8000, 10], [""core"", 1, 1, 4000, 35]]"
case-a,random,8,8,6,4,8000.0,70.0,1,0.275,1.3006798567008628,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 100.0, ""mem"": 20000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 40.0, ""mem"": 20000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 30.0, ""mem"": 12000.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 80.0, ""mem"": 12000.0, ""slices"": 2}}","[[""pair"", 2, 2, 4000, 15], [""mem"", 1, 1, 8000, 10], [""core"", 1, 1, 4000, 35]]"
case-a,dqn-job,8,8,6,4,8000.0,35.0,1,0.18141996417521575,0.8570998208760788,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 40.0, ""mem"": 20000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 70.0, ""mem"": 12000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 65.0, ""mem"": 16000.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 75.0, ""mem"": 16000.0, ""slices"": 2}}","[[""pair"", 2, 2, 4000, 15], [""mem"", 1, 1, 8000, 10], [""core"", 1, 1, 4000, 35]]"
case-b,spread,10,10,10,4,12000.0,80.0,1,0.28851978505129455,1.5770395701025892,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 65.0, ""mem"": 16000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 20.0, ""mem"": 20000.0, ""slices"": 2}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 95.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 100.0, ""mem"": 12000.0, ""slices"": 2}}","[[""memhi"", 3, 1, 8000, 10], [""corehi"", 3, 1, 4000, 35]]"
case-b,binpack,10,10,10,4,12000.0,70.0,1,0.28851978505129455,1.4770395701025891,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 100.0, ""mem"": 12000.0, ""slices"": 2}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 55.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 30.0, ""mem"": 12000.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 95.0, ""mem"": 24000.0, ""slices"": 3}}","[[""memhi"", 3, 1, 8000, 10], [""corehi"", 3, 1, 4000, 35]]"
case-b,original,10,10,10,4,12000.0,50.0,3,0.29425989252564727,1.2827796775769418,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 55.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 100.0, ""mem"": 12000.0, ""slices"": 2}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 50.0, ""mem"": 12000.0, ""slices"": 1}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 75.0, ""mem"": 24000.0, ""slices"": 4}}","[[""memhi"", 3, 1, 8000, 10], [""corehi"", 3, 1, 4000, 35]]"
case-b,random,10,10,10,4,8000.0,40.0,2,0.18141996417521578,0.9070998208760789,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 85.0, ""mem"": 16000.0, ""slices"": 2}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 75.0, ""mem"": 24000.0, ""slices"": 4}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 75.0, ""mem"": 16000.0, ""slices"": 2}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 45.0, ""mem"": 16000.0, ""slices"": 2}}","[[""memhi"", 3, 1, 8000, 10], [""corehi"", 3, 1, 4000, 35]]"
case-b,dqn-job,10,10,10,4,12000.0,35.0,2,0.03851978505129455,0.877039570102589,"{""GPU-27be0024-0498-4114-e6b9-b2d0db148309"": {""core"": 65.0, ""mem"": 16000.0, ""slices"": 3}, ""GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e"": {""core"": 80.0, ""mem"": 20000.0, ""slices"": 3}, ""GPU-7b94f673-ce00-719b-2c94-706baa032dae"": {""core"": 85.0, ""mem"": 24000.0, ""slices"": 3}, ""GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd"": {""core"": 50.0, ""mem"": 12000.0, ""slices"": 1}}","[[""memhi"", 3, 1, 8000, 10], [""corehi"", 3, 1, 4000, 35]]"
