policy,workload,pod,phase,annotation
spread,balanced-job-8x1,cmp-balanced-job-8x1-spread-worker-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4096,10:"
spread,balanced-job-8x1,cmp-balanced-job-8x1-spread-worker-1,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4096,10:"
spread,balanced-job-8x1,cmp-balanced-job-8x1-spread-worker-2,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4096,10:"
spread,balanced-job-8x1,cmp-balanced-job-8x1-spread-worker-3,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4096,10:"
spread,balanced-job-8x1,cmp-balanced-job-8x1-spread-worker-4,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4096,10:"
spread,balanced-job-8x1,cmp-balanced-job-8x1-spread-worker-5,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4096,10:"
spread,balanced-job-8x1,cmp-balanced-job-8x1-spread-worker-6,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4096,10:"
spread,balanced-job-8x1,cmp-balanced-job-8x1-spread-worker-7,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4096,10:"
spread,multi-job-4x2,cmp-multi-job-4x2-spread-worker-0,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8192,25:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8192,25:"
spread,multi-job-4x2,cmp-multi-job-4x2-spread-worker-1,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8192,25:GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,8192,25:"
spread,multi-job-4x2,cmp-multi-job-4x2-spread-worker-2,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8192,25:GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8192,25:"
spread,multi-job-4x2,cmp-multi-job-4x2-spread-worker-3,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8192,25:GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,8192,25:"
dqn-job,balanced-job-8x1,cmp-balanced-job-8x1-dqn-job-worker-0,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4096,10:"
dqn-job,balanced-job-8x1,cmp-balanced-job-8x1-dqn-job-worker-1,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4096,10:"
dqn-job,balanced-job-8x1,cmp-balanced-job-8x1-dqn-job-worker-2,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4096,10:"
dqn-job,balanced-job-8x1,cmp-balanced-job-8x1-dqn-job-worker-3,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4096,10:"
dqn-job,balanced-job-8x1,cmp-balanced-job-8x1-dqn-job-worker-4,Running,"GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,4096,10:"
dqn-job,balanced-job-8x1,cmp-balanced-job-8x1-dqn-job-worker-5,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,4096,10:"
dqn-job,balanced-job-8x1,cmp-balanced-job-8x1-dqn-job-worker-6,Running,"GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,4096,10:"
dqn-job,balanced-job-8x1,cmp-balanced-job-8x1-dqn-job-worker-7,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,4096,10:"
dqn-job,multi-job-4x2,cmp-multi-job-4x2-dqn-job-worker-0,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,8192,25:GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8192,25:"
dqn-job,multi-job-4x2,cmp-multi-job-4x2-dqn-job-worker-1,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8192,25:GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8192,25:"
dqn-job,multi-job-4x2,cmp-multi-job-4x2-dqn-job-worker-2,Running,"GPU-7b94f673-ce00-719b-2c94-706baa032dae,NVIDIA,8192,25:GPU-fb6aaeaf-9ca4-3c9a-7b3b-f56714c1f7cd,NVIDIA,8192,25:"
dqn-job,multi-job-4x2,cmp-multi-job-4x2-dqn-job-worker-3,Running,"GPU-28cf7186-0bdd-be9f-92e5-3c59b4e92c1e,NVIDIA,8192,25:GPU-27be0024-0498-4114-e6b9-b2d0db148309,NVIDIA,8192,25:"
